Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
16	7.6797	9804.17	16.10	0.5413
16	7.9718	9804.17	16.00	0.5417
16	6.4127	9804.17	15.10	0.5411
16	7.4541	9804.17	14.90	0.5424
16	7.1703	9804.17	16.10	0.5410
16	7.5387	9804.17	16.10	0.5413
16	7.2164	9804.17	14.90	0.5416
16	7.0647	9804.17	14.20	0.5412
16	7.2916	9804.17	15.90	0.5412
16	7.1174	9804.17	16.60	0.5414
16	7.1402	9804.17	15.80	0.5412
16	7.7705	9804.17	16.10	0.5417
16	7.0701	9804.17	13.70	0.5413
16	6.6938	9804.17	15.50	0.5414
16	7.2235	9804.17	16.10	0.5415
16	8.0904	9804.17	11.60	0.5414
16	6.8321	9804.17	16.20	0.5413
16	7.0460	9804.17	16.20	0.5416
16	7.4430	9804.17	16.10	0.5409
16	7.1957	9804.17	15.30	0.5415
16	7.4921	9804.17	16.60	0.5412
17	8.2093	9804.17	15.80	0.5421
17	7.3604	9804.17	14.00	0.5409
17	7.3514	9804.17	15.70	0.5418
17	7.0659	9804.17	16.60	0.5410
17	7.2968	9804.17	13.80	0.5411
17	6.9906	9804.17	14.50	0.5428
17	7.2760	9804.17	15.30	0.5408
17	6.6931	9804.17	15.40	0.5410
17	7.9115	9804.17	17.00	0.5413
17	7.6159	9804.17	14.70	0.5413
17	8.1659	9804.17	14.10	0.5409
17	7.9210	9804.17	15.60	0.5414
17	7.9241	9804.17	16.10	0.5412
17	6.7056	9804.17	15.20	0.5409
17	7.5259	9804.17	15.70	0.5412
17	7.3504	9804.17	16.00	0.5408
17	8.0390	9804.17	17.10	0.5411
17	7.0875	9804.17	15.20	0.5412
17	7.1262	9804.17	14.90	0.5411
17	8.0903	9804.17	15.20	0.5411
17	7.9375	9804.17	17.40	0.5414
17	6.6598	9804.17	14.30	0.5409
17	7.1669	9804.17	14.10	0.5410
17	7.1517	9804.17	15.20	0.5412
17	7.5958	9804.17	16.70	0.5414
17	7.3426	9804.17	16.90	0.5413
17	7.0541	9804.17	15.40	0.5414
17	6.7431	9804.17	15.20	0.5411
17	8.8113	9804.17	15.60	0.5426
17	7.6236	9804.17	17.30	0.5407
17	7.5698	9804.17	16.20	0.5410
17	7.8328	9804.17	15.10	0.5412
18	7.2180	9804.17	16.30	0.5426
18	7.4133	9804.17	16.00	0.5412
18	7.3955	9804.17	16.60	0.5412
18	6.8445	9804.17	15.90	0.5411
18	7.3151	9804.17	15.30	0.5412
18	6.9940	9804.17	16.90	0.5413
18	7.0991	9804.17	15.40	0.5410
18	6.8800	9804.17	15.80	0.5412
18	7.0393	9804.17	16.20	0.5417
18	7.4991	9804.17	16.40	0.5412
18	7.5947	9804.17	15.80	0.5414
18	7.2131	9804.17	16.90	0.5418
18	7.0298	9804.17	15.30	0.5414
18	7.0921	9804.17	15.80	0.5415
18	7.0496	9804.17	15.90	0.5413
18	7.2859	9804.17	16.30	0.5412
18	7.0986	9804.17	14.30	0.5413
18	7.2249	9804.17	15.80	0.5412
18	7.3349	9804.17	17.00	0.5414
18	7.6702	9804.17	16.70	0.5410
18	8.0180	9804.17	14.70	0.5414
18	7.2665	9804.17	15.50	0.5411
18	7.2913	9804.17	17.40	0.5414
18	7.7212	9804.17	16.90	0.5410
18	8.0798	9804.17	16.20	0.5413
18	7.7166	9804.17	15.10	0.5416
18	6.9527	9804.17	15.90	0.5414
18	7.4035	9804.17	16.50	0.5415
18	6.9055	9804.17	14.50	0.5428
18	7.0955	9804.17	15.30	0.5422
18	6.9881	9804.17	15.90	0.5420
18	6.9406	9804.17	16.50	0.5414
19	6.9049	9804.17	13.90	0.5418
19	7.1863	9804.17	14.80	0.5411
19	7.9804	9804.17	16.50	0.5412
19	8.2508	9804.17	16.20	0.5408
19	7.3684	9804.17	15.40	0.5414
19	8.0120	9804.17	14.20	0.5412
19	8.1878	9804.17	16.70	0.5415
19	6.9493	9804.17	18.80	0.5414
19	7.1527	9804.17	14.40	0.5425
19	7.0295	9804.17	14.40	0.5411
19	6.8603	9804.17	15.70	0.5416
19	7.5049	9804.17	15.80	0.5415
19	7.2961	9804.17	16.10	0.5418
19	7.4023	9804.17	15.50	0.5408
19	7.0652	9804.17	17.40	0.5432
19	7.2076	9804.17	17.10	0.5418
19	6.9733	9804.17	16.60	0.5431
19	7.0679	9804.17	14.60	0.5411
19	7.9875	9804.17	16.40	0.5418
19	7.2184	9804.17	17.20	0.5413
19	7.6589	9804.17	16.60	0.5414
